Frame,Class,Class_ID,X,Y
156,Chou,25,423.6284,597.9764
156,Fredrinn,116,348.8032,608.2604
156,Claude,64,82.4287,95.973
156,Masha,87,644.4697,643.6217
156,Wanwan,88,26.5415,89.4128
156,Fanny,16,487.7705,594.2649
156,Valentina,110,374.8981,366.1582
156,Novaria,119,293.6143,391.5949
156,Minotaur,18,325.8902,445.752
158,Fredrinn,116,346.2603,607.123
158,Fanny,16,488.6064,593.1755
158,Claude,64,81.754,96.5138
158,Wanwan,88,27.3357,88.5159
158,Lapu-Lapu,36,586.595,676.9082
158,Chou,25,421.4991,598.1052
158,Novaria,119,293.3221,389.4231
158,Masha,87,645.1357,643.9433
158,Valentina,110,374.1013,363.6994
158,Minotaur,18,328.7561,443.0682
160,Fanny,16,489.2651,591.9926
160,Fredrinn,116,345.3424,606.6463
160,Chou,25,422.2034,599.166
160,Claude,64,81.1271,96.9241
160,Lapu-Lapu,36,584.9362,676.3391
160,Wanwan,88,26.383,89.4545
160,Novaria,119,293.7344,387.6534
160,Valentina,110,373.3858,362.193
160,Masha,87,645.3086,644.3226
160,Minotaur,18,329.6222,441.1535
162,Fanny,16,489.6783,590.0222
162,Fredrinn,116,343.2552,606.2573
162,Valentina,110,372.8743,360.9414
162,Chou,25,419.2052,598.1217
162,Lapu-Lapu,36,583.3521,676.5193
162,Wanwan,88,26.1178,89.3618
162,Novaria,119,293.6605,386.5452
162,Claude,64,79.31,96.9351
162,Minotaur,18,329.1277,439.8461
162,Masha,87,646.7138,642.6336
164,Fanny,16,493.0088,587.6415
164,Fredrinn,116,341.2495,605.1697
164,Lapu-Lapu,36,582.8406,676.1481
164,Valentina,110,372.5502,358.939
164,Wanwan,88,26.2134,89.4123
164,Novaria,119,294.1352,384.4229
164,Minotaur,18,329.3009,438.1786
164,Chou,25,416.6136,596.7346
164,Claude,64,77.832,97.7715
164,Masha,87,648.0549,642.4732
166,Fredrinn,116,339.8246,603.7764
166,Fanny,16,494.0587,585.3576
166,Lapu-Lapu,36,581.45,675.9102
166,Wanwan,88,26.4271,89.3797
166,Valentina,110,372.127,356.747
166,Novaria,119,292.8411,382.3007
166,Minotaur,18,330.0225,434.2474
166,Claude,64,76.759,98.6229
166,Masha,87,648.8148,642.2217
166,Chou,25,414.2829,594.7635
168,Fanny,16,497.6208,580.7986
168,Lapu-Lapu,36,580.2032,675.6324
168,Fredrinn,116,337.7053,602.2448
168,Wanwan,88,27.5775,90.898
168,Minotaur,18,330.0741,430.978
