Frame,Class,Class_ID,X,Y
43,Fanny,16,407.7399,531.3202
43,Claude,64,101.1926,51.4005
43,Masha,87,629.3233,607.6937
43,Wanwan,88,24.8831,96.38
44,Chou,25,460.8376,598.0466
44,Lapu-Lapu,36,615.9436,688.1456
44,Valentina,110,348.143,396.6294
44,Novaria,119,271.7859,415.9086
44,Fanny,16,404.6598,539.3314
44,Minotaur,18,267.6316,476.0969
44,Masha,87,629.0523,608.0295
44,Claude,64,102.2818,52.5097
44,Wanwan,88,24.2898,96.5399
45,Chou,25,460.8839,598.0298
45,Valentina,110,348.2362,396.0414
45,Lapu-Lapu,36,614.9544,688.2426
45,Fanny,16,404.8856,541.2724
45,Novaria,119,271.7708,415.9041
45,Minotaur,18,267.7693,476.1889
45,Masha,87,629.2617,607.3828
45,Claude,64,102.5029,52.7834
45,Wanwan,88,24.148,96.6375
46,Fanny,16,404.3087,547.387
46,Chou,25,461.4316,598.7925
46,Valentina,110,347.7033,396.6706
46,Novaria,119,271.5243,415.9141
46,Lapu-Lapu,36,614.2541,687.8175
46,Minotaur,18,267.9345,476.5457
46,Masha,87,628.899,608.2835
46,Claude,64,103.0864,52.8466
46,Wanwan,88,24.269,96.6789
47,Novaria,119,271.115,415.4435
47,Valentina,110,347.4728,397.5835
47,Chou,25,461.2281,598.5541
47,Lapu-Lapu,36,612.6875,687.6741
47,Minotaur,18,267.8251,475.7104
47,Fanny,16,402.1335,551.6671
47,Masha,87,629.4063,608.2462
47,Wanwan,88,24.45,96.4371
47,Claude,64,102.7895,53.6932
48,Novaria,119,271.6463,415.0201
48,Valentina,110,347.6595,398.0982
48,Chou,25,460.8174,598.3267
48,Lapu-Lapu,36,612.3727,687.8825
48,Minotaur,18,268.5058,475.274
48,Fanny,16,400.1494,555.7354
48,Masha,87,629.5022,608.3134
48,Claude,64,103.252,54.5948
48,Wanwan,88,24.9728,96.2516
49,Valentina,110,347.4742,398.6426
49,Chou,25,460.6873,598.0829
49,Novaria,119,272.0669,414.5922
49,Lapu-Lapu,36,612.1471,688.2277
49,Minotaur,18,268.7667,474.7103
49,Fanny,16,398.8757,559.7133
49,Masha,87,629.2862,608.249
49,Claude,64,104.103,55.2246
49,Wanwan,88,25.2529,95.6357
50,Valentina,110,346.7778,399.7343
50,Lapu-Lapu,36,610.4643,688.6653
50,Chou,25,460.7533,597.8781
50,Novaria,119,272.7171,413.978
50,Fanny,16,395.4386,570.1369
50,Minotaur,18,269.3009,473.5089
50,Claude,64,106.0809,56.5328
50,Masha,87,629.1586,608.4805
50,Wanwan,88,25.9084,94.0907
51,Valentina,110,346.9091,399.8101
51,Lapu-Lapu,36,610.0588,688.8133
51,Chou,25,460.9462,597.7858
51,Novaria,119,272.7825,413.9888
51,Minotaur,18,269.934,473.6646
51,Masha,87,629.0934,608.5
51,Claude,64,106.2498,56.38
51,Fanny,16,394.9569,572.994
51,Wanwan,88,25.9829,94.0514
52,Valentina,110,346.3997,400.0228
52,Lapu-Lapu,36,609.8365,688.8173
52,Novaria,119,272.694,413.3961
52,Chou,25,461.1492,597.7172
52,Claude,64,106.6437,56.7844
52,Masha,87,629.0825,608.8809
52,Minotaur,18,269.7057,473.0018
52,Fanny,16,392.408,577.6767
52,Wanwan,88,26.5646,93.6408
53,Valentina,110,346.693,400.8809
53,Lapu-Lapu,36,609.6279,689.2055
53,Novaria,119,272.4131,413.1933
53,Chou,25,460.7815,597.7475
53,Claude,64,107.098,57.6775
53,Masha,87,630.37,608.6309
53,Minotaur,18,270.0363,472.8084
53,Wanwan,88,27.0915,92.5319
53,Fanny,16,392.4164,583.9041
54,Lapu-Lapu,36,609.774,689.4124
54,Valentina,110,347.1107,400.1774
54,Novaria,119,272.2584,412.612
54,Chou,25,461.0446,597.7069
54,Claude,64,107.9532,59.5339
54,Masha,87,630.5599,608.7616
54,Minotaur,18,270.1941,472.1854
54,Wanwan,88,27.4277,91.385
54,Fanny,16,393.2992,590.2798
55,Lapu-Lapu,36,610.0547,689.3323
55,Valentina,110,347.7519,400.0045
55,Chou,25,461.1362,597.7036
55,Novaria,119,272.099,411.4959
55,Masha,87,630.6556,608.8834
55,Claude,64,108.1023,59.6684
55,Minotaur,18,270.1627,470.1589
55,Fanny,16,393.6339,590.7768
55,Wanwan,88,27.1262,90.3746
56,Lapu-Lapu,36,610.6788,689.359
56,Valentina,110,347.8949,399.9699
56,Novaria,119,272.2184,411.8323
56,Chou,25,461.0163,598.313
56,Masha,87,630.5847,608.9659
56,Claude,64,109.0496,61.799
56,Minotaur,18,270.4593,470.146
56,Fanny,16,394.0542,592.0211
56,Wanwan,88,27.6143,89.2692
57,Lapu-Lapu,36,611.5013,689.4929
57,Valentina,110,349.0862,399.7461
57,Novaria,119,272.2828,412.1174
57,Chou,25,461.2311,598.9568
57,Claude,64,109.6545,63.0908
57,Masha,87,630.5441,608.8047
57,Minotaur,18,270.7475,469.3076
57,Fanny,16,393.9459,592.6866
57,Wanwan,88,27.6815,88.4249
58,Lapu-Lapu,36,612.4533,689.5265
58,Novaria,119,271.6861,412.7009
58,Valentina,110,350.7306,398.812
